"id","group","cb_number","branch_id","new_cb_number","sic_number","headquarters","cb_number_type","valid_from","sic_code","eurosic_code","language","short_name","long_name","home_address","postal_address","zip","location","phone","fax","telephone_code","country_code","postal_code","swift"
1,"1","100",0000,,001008,"100","1",2009-11-07,"1","3","1","SNB","Schweizerische Nationalbank","Börsenstrasse 15","Postfach 2800","8022","Zürich","044 631 31 11",,,,"30-5-5","SNBZCHZZXXX"
2,"1","110",0000,,001100,"100","2",2009-11-07,"1","3","1","SNB","Schweizerische Nationalbank","Bundesplatz 1","Postfach","3003","Bern","031 327 02 21",,,,"*30-5-5","SNBZCHZZXXX"
3,"1","115",0000,,001158,"100","2",2009-12-03,"1","3","1","SNB","Schweizerische Nationalbank","Bundesverw. / Bundesplatz 1","Postfach","3003","Bern","044 631 31 30","044 631 39 34",,,"*30-5-5","SNBZCHZZXXX"
4,"1","140",0000,"100",001403,"100","1",2012-02-01,"1","3","2","BNS","Banque nationale suisse","Rue Diday 8","Case postale 5355","1211","Genève 11","022 818 57 11",,,,"*30-5-5","SNBZCHZZXXX"
5,"8","193",0000,,001933,"193","1",2009-11-07,"0","3","1","SECB","SECB Swiss Euro Clearing Bank","Solmsstrasse 18",,"60486","Frankfurt am Main","69 97 98 98 0","69 97 98 98 98","++49","DE",,"SECGDEFFXXX"
6,"2","202",0000,,002020,"230","2",2009-11-07,"1","1","1","UBS","UBS AG","Poststrasse 10","Postfach","8610","Uster 1","044 944 91 11",,,,"*80-2-2","UBSWCHZH86N"
7,"2","202",0001,,002020,"230","3",2005-03-12,"1","1","1","UBS","UBS AG","Bahnhofstrasse 1","Postfach","8600","Dübendorf 1","044 824 41 11",,,,"*80-2-2",
8,"2","203",0000,,002031,"230","2",2009-11-07,"1","1","1","UBS","UBS AG","Bahnhofstrasse 26","Postfach","9320","Arbon","071 447 79 79",,,,"*80-2-2","UBSWCHZH93A"
9,"2","204",0000,,002046,"230","2",2009-11-07,"1","1","1","UBS","UBS AG","Poststrasse 198","Postfach","7050","Arosa","081 378 79 79",,,,"*80-2-2","UBSWCHZH70E"
10,"2","206",0000,,002062,"230","2",2009-11-07,"1","1","1","UBS","UBS AG","Paradeplatz 6","Postfach","8098","Zürich","044 234 11 11",,,,"*80-2-2","UBSWCHZH80V"
11,"2","206",0001,,002062,"230","3",2005-04-23,"1","1","1","UBS","UBS AG","Bahnhofstrasse 72","Postfach","8098","Zürich","044 234 11 11",,,,"*80-2-2",
12,"2","206",0002,,002062,"230","3",2005-04-23,"1","1","1","UBS","UBS AG","Löwenplatz / Seidengasse 17","Postfach","8098","Zürich","044 234 11 11",,,,"*80-2-2",
13,"2","207",0000,,002078,"230","2",2009-11-07,"1","1","1","UBS","UBS AG","Bahnhofstrasse 39","Postfach","8180","Bülach","044 872 42 42",,,,"*80-2-2","UBSWCHZH81M"
14,"2","208",0000,,002083,"230","2",2009-11-07,"1","1","1","UBS","UBS AG","Poststrasse 1","Postfach","7002","Chur","081 255 90 00",,,,"*80-2-2","UBSWCHZH70A"
15,"2","208",0001,,002083,"230","3",2005-04-15,"1","1","1","UBS","UBS AG","Via Nova 64","Postfach","7017","Flims Dorf","081 928 86 86",,,,"*80-2-2",
16,"2","208",0002,,002083,"230","3",2000-04-07,"1","1","1","UBS","UBS AG","Bahnhofstrasse 14","Postfach","7130","Ilanz","081 926 15 00",,,,"*80-2-2",
17,"2","208",0004,,002083,"230","3",1999-04-22,"1","1","1","UBS","UBS AG","Voa principala 68","Postfach","7078","Lenzerheide/Lai","081 385 24 00",,,,"*80-2-2",
18,"2","208",0005,,002083,"230","3",1999-04-22,"1","1","1","UBS","UBS AG","Grossfeldstrasse 19","Postfach","7320","Sargans","081 725 47 00",,,,"*80-2-2",
19,"2","208",0006,,002083,"230","3",2002-05-24,"1","1","1","UBS","UBS AG","Neudorfstrasse 46","Postfach","7430","Thusis","081 632 39 00",,,,"*80-2-2",
20,"2","208",0007,,002083,"230","3",2005-04-15,"1","1","1","UBS","UBS AG","Via Sursilvana 18","Postfach","7180","Disentis/Mustér","081 929 59 00",,,,"*80-2-2",
21,"2","209",0000,,002099,"230","2",2009-11-07,"1","1","1","UBS","UBS AG","Promenade 48","Postfach","7270","Davos Platz 1","081 415 11 11",,,,"*80-2-2","UBSWCHZH72D"
22,"2","209",0001,,002099,"230","3",1999-09-17,"1","1","1","UBS","UBS AG","Bahnhofstrasse 6","Postfach","7250","Klosters","081 423 38 00",,,,"*80-2-2",
23,"2","210",0000,,002106,"230","2",2009-11-07,"1","1","1","UBS","UBS AG","Bahnhofstrasse 11","Postfach 768","5201","Brugg AG","056 460 81 00",,,,"*80-2-2","UBSWCHZH52A"
24,"2","211",0000,,002114,"230","2",2009-12-01,"1","1","1","UBS","UBS AG","Hauptstrasse 44","Postfach","3186","Düdingen","026 492 77 77",,,,"*80-2-2","UBSWCHZH31A"
25,"2","213",0000,,002138,"230","2",2009-11-07,"1","1","1","UBS","UBS AG","Rorschacherstrasse 1","Postfach","9450","Altstätten SG","071 757 56 56",,,,"*80-2-2","UBSWCHZH94N"
26,"2","213",0001,,002138,"230","3",2000-04-07,"1","1","1","UBS","UBS AG","Kirchstrasse 2","Postfach","9435","Heerbrugg","071 727 91 11",,,,"*80-2-2",
27,"2","214",0000,,002143,"230","2",2009-11-07,"1","1","1","UBS","UBS AG","Zugerstrasse 22","Postfach","8810","Horgen 1","044 728 85 11",,,,"*80-2-2","UBSWCHZH88A"
28,"2","214",0001,,002143,"230","3",2005-04-15,"1","1","1","UBS","UBS AG","Gotthardstrasse 40","Postfach","8800","Thalwil","044 722 93 11",,,,"*80-2-2",
29,"2","214",0002,,002143,"230","3",2005-03-12,"1","1","1","UBS","UBS AG","Zugerstrasse 11","Postfach","8820","Wädenswil","044 783 85 85",,,,"*80-2-2",
30,"2","214",0003,,002143,"230","3",2010-09-16,"1","1","1","UBS","UBS AG","Churerstrasse 70","Postfach","8808","Pfäffikon SZ","055 416 37 11",,,,"*80-2-2",
31,"2","216",0000,,002167,"230","2",2009-11-07,"1","1","1","UBS","UBS AG","Bahnhofplatz 3","Postfach","8853","Lachen SZ","055 451 66 11",,,,"*80-2-2","UBSWCHZH88B"
32,"2","216",0001,,002167,"230","3",1999-04-22,"1","1","1","UBS","UBS AG","Klosterplatz","Postfach","8840","Einsiedeln","055 418 77 11",,,,"*80-2-2",
33,"2","217",0000,,002175,"230","2",2009-11-07,"1","1","1","UBS","UBS AG","Hauptstrasse 37","Postfach","8280","Kreuzlingen 1","071 677 81 11",,,,"*80-2-2","UBSWCHZH82P"
34,"2","219",0000,,002191,"230","2",2009-11-07,"1","1","1","UBS","UBS AG","Rathausstrasse 11","Postfach","8570","Weinfelden","071 626 46 46",,,,"*80-2-2","UBSWCHZH85B"
35,"2","220",0000,,002209,"230","2",2009-11-07,"1","1","1","UBS","UBS AG","St. Gallerstrasse 5","Postfach","9471","Buchs SG 1","081 755 42 42",,,,"*80-2-2","UBSWCHZH94P"
36,"2","220",0002,,002209,"230","3",2005-04-15,"1","1","1","UBS","UBS AG","Am Platz 8","Postfach","7310","Bad Ragaz","081 303 48 00",,,,"*80-2-2",
37,"2","221",0000,,002217,"230","2",2009-11-07,"1","1","1","UBS","UBS AG","Plazza Mauritius/Via Maistra 14","Postfach","7500","St. Moritz 1","081 837 70 00",,,,"*80-2-2","UBSWCHZH75A"
38,"2","221",0001,,002217,"230","3",2000-04-07,"1","1","3","UBS","UBS SA","Plazza da Cumün","Casella postale","7742","Poschiavo","081 839 78 00",,,,"*80-2-2",
39,"2","222",0000,,002225,"230","2",2009-11-07,"1","1","1","UBS","UBS AG","Neugutstrasse 4","Postfach","8304","Wallisellen","044 877 95 95",,,,"*80-2-2","UBSWCHZH83B"
40,"2","223",0000,,002230,"230","2",2009-11-07,"1","1","1","UBS","UBS AG","Bahnhofplatz 13","Postfach","8953","Dietikon 1","044 743 85 11",,,,"*80-2-2","UBSWCHZH89D"
41,"2","223",0001,,002230,"230","3",2005-03-12,"1","1","1","UBS","UBS AG","Zürcherstrasse 18","Postfach","8952","Schlieren","044 733 41 11",,,,"*80-2-2",
42,"2","225",0000,,002256,"230","2",2009-11-07,"1","1","1","UBS","UBS AG","Bellevue / Theaterstrasse 20","Postfach","8098","Zürich","044 265 91 11",,,,"*80-2-2","UBSWCHZH80G"
43,"2","226",0000,,002264,"230","2",2009-11-07,"1","1","2","UBS","UBS SA","Rue du Jura 11","Case postale","2900","Porrentruy 1","032 465 25 25",,,,"*80-2-2","UBSWCHZH29A"
44,"2","226",0001,,002264,"230","3",2004-10-29,"1","1","2","UBS","UBS SA","Rue de l'Avenir 5","Case postale","2800","Delémont 1","032 424 53 53",,,,"*80-2-2",
45,"2","227",0000,,002272,"230","2",2009-11-08,"1","1","1","UBS","UBS AG","Bälliz 1","Postfach","3601","Thun","033 225 51 11",,,,"*80-2-2","UBSWCHZH36A"
46,"2","227",0001,,002272,"230","3",2005-04-22,"1","1","1","UBS","UBS AG","Promenade 780 B","Postfach","3780","Gstaad","033 748 85 11",,,,"*80-2-2",
47,"2","227",0002,,002272,"230","3",2005-04-22,"1","1","1","UBS","UBS AG","Rawilstrasse 5","Postfach","3775","Lenk im Simmental","033 736 78 88",,,,"*80-2-2",
48,"2","227",0003,,002272,"230","3",2005-04-22,"1","1","1","UBS","UBS AG","Seestrasse 7","Postfach","3700","Spiez","033 655 93 33",,,,"*80-2-2",
49,"2","227",0004,,002272,"230","3",2004-10-29,"1","1","1","UBS","UBS AG","Mühlegasse 1","Postfach","3770","Zweisimmen","033 729 77 77",,,,"*80-2-2",
50,"2","228",0000,,002288,"230","2",2009-11-08,"1","1","2","UBS","UBS SA","Centre La Combe/R. de la Môrache 6","Case postale","1260","Nyon 1","022 363 71 11",,,,"*80-2-2","UBSWCHZH12T"
51,"2","228",0001,,002288,"230","3",2004-10-29,"1","1","2","UBS","UBS SA","Rue du Borgeaud 2","Case postale","1196","Gland","022 354 93 11",,,,"*80-2-2",
52,"2","230",0000,,002301,"230","1",2009-11-08,"1","1","1","UBS","UBS AG","Bahnhofstrasse 45","Postfach","8098","Zürich","044 234 11 11",,,,"80-2-2","UBSWCHZH80A"
53,"2","231",0000,,002316,"230","2",2009-11-08,"1","1","1","UBS","UBS AG","Bahnhofstrasse 61","Postfach","5001","Aarau","062 835 91 91",,,,"*80-2-2","UBSWCHZH50A"
54,"2","231",0001,,002316,"230","3",2004-10-29,"1","1","1","UBS","UBS AG","Bahnhofstrasse 7","Postfach","5600","Lenzburg 1","062 885 25 25",,,,"*80-2-2",
55,"2","231",0002,,002316,"230","3",2005-04-22,"1","1","1","UBS","UBS AG","Schaffhauserstrasse 28","Postfach","4332","Stein AG","062 866 45 45",,,,"*80-2-2",
56,"2","231",0003,,002316,"230","3",2005-04-22,"1","1","1","UBS","UBS AG","Niklaus-Thut-Platz 9","Postfach","4800","Zofingen","062 745 85 00",,,,"*80-2-2",
57,"2","231",0004,,002316,"230","3",2005-04-22,"1","1","1","UBS","UBS AG","Bahnhofstrasse 5","Postfach","5734","Reinach AG","062 765 59 59",,,,"*80-2-2",
58,"2","232",0000,,002324,"230","2",2009-11-08,"1","1","1","UBS","UBS AG","Badstrasse 12","Postfach","5401","Baden","056 200 61 11",,,,"*80-2-2","UBSWCHZH54A"
59,"2","232",0001,,002324,"230","3",2004-10-29,"1","1","1","UBS","UBS AG","Landstrasse 61","Postfach","5430","Wettingen 1","056 437 66 66",,,,"*80-2-2",
60,"2","232",0002,,002324,"230","3",2006-08-06,"1","1","1","UBS","UBS AG","Hauptstrasse 55","Postfach","5330","Bad Zurzach","056 269 68 11",,,,"*80-2-2",
61,"2","232",0003,,002324,"230","3",2008-08-25,"1","1","1","UBS","UBS AG","Badenerstrasse 26","Postfach 66","5442","Fislisbach","056 483 55 55",,,,"*80-2-2",
62,"2","233",0000,,002332,"230","2",2009-12-01,"1","1","1","UBS","UBS AG","Aeschenplatz 6","Postfach","4002","Basel","061 288 50 50",,,,"*80-2-2","UBSWCHZH40A"
63,"2","233",0002,,002332,"230","3",2005-04-22,"1","1","1","UBS","UBS AG","Baslerstrasse 96","Postfach","4123","Allschwil 1","061 486 42 42",,,,"*80-2-2",
64,"2","233",0003,,002332,"230","3",2005-04-22,"1","1","1","UBS","UBS AG","Hauptstrasse 31","Postfach","4144","Arlesheim","061 706 26 26",,,,"*80-2-2",
65,"2","233",0005,,002332,"230","3",2006-03-10,"1","1","1","UBS","UBS AG","Ahornhof, Türkheimerstrasse","Postfach","4009","Basel","061 306 73 73",,,,"*80-2-2",
66,"2","233",0007,,002332,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Austrasse 2","Postfach","4153","Reinach BL 1","061 716 72 72",,,,"*80-2-2",
67,"2","233",0008,,002332,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Baselstrasse 48","Postfach","4125","Riehen 1","061 645 21 21",,,,"*80-2-2",
68,"2","233",0009,,002332,"230","3",2005-06-24,"1","1","1","UBS","UBS AG","Gellert / Hardstrasse 143","Postfach","4020","Basel","061 378 41 41",,,,"*80-2-2",
69,"2","233",0010,,002332,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Tellplatz 12","Postfach","4018","Basel","061 366 57 57",,,,"*80-2-2",
70,"2","233",0012,,002332,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Oberwilerstrasse 2","Postfach","4102","Binningen 1","061 426 52 52",,,,"*80-2-2",
71,"2","233",0013,,002332,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Hauptstrasse 68","Postfach","4132","Muttenz 1","061 467 51 51",,,,"*80-2-2",
72,"2","233",0014,,002332,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Bahnhofstrasse 5","Postfach","4133","Pratteln 1","061 826 71 71",,,,"*80-2-2",
73,"2","233",0016,,002332,"230","3",2005-04-22,"1","1","1","UBS","UBS AG","Kleinbasel / Claraplatz 2","Postfach","4005","Basel","061 695 20 20",,,,"*80-2-2",
74,"2","233",0017,,002332,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Centralbahnplatz 6","Postfach","4002","Basel","061 270 46 46",,,,"*80-2-2",
75,"2","233",0019,,002332,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Lysbüchel / Elsässersrasse 256","Postfach","4013","Basel","061 327 43 43",,,,"*80-2-2",
76,"2","233",0020,,002332,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Neubad / Neubadstrasse 146","Postfach","4015","Basel","061 306 58 58",,,,"*80-2-2",
77,"2","233",0021,,002332,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","St. Johann / Elsässerstrasse 16","Postfach","4013","Basel","061 385 24 24",,,,"*80-2-2",
78,"2","233",0022,,002332,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Hauptstrasse 53","Postfach","4127","Birsfelden","061 319 23 23",,,,"*80-2-2",
79,"2","233",0024,,002332,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Bottmingerstrasse 75","Postfach","4104","Oberwil BL","061 406 76 76",,,,"*80-2-2",
80,"2","233",0025,,002332,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Marktplatz 17","Postfach","4001","Basel","061 288 89 00",,,,"*80-2-2",
81,"2","234",0000,,002348,"230","2",2009-11-08,"1","1","3","UBS","UBS SA","Largo Elvezia 2","Casella postale","6501","Bellinzona","091 801 31 11",,,,"*80-2-2","UBSWCHZH65A"
82,"2","234",0001,,002348,"230","3",2005-04-22,"1","1","3","UBS","UBS SA","Via Stazione","Casella postale","6780","Airolo","091 801 39 11",,,,"*80-2-2",
83,"2","234",0003,,002348,"230","3",2004-10-29,"1","1","3","UBS","UBS SA","Via A. Pini 34","Casella postale","6710","Biasca","091 801 38 11",,,,"*80-2-2",
84,"2","234",0006,,002348,"230","3",2005-04-22,"1","1","3","UBS","UBS SA","Largo Libero Olgiati 79",,"6512","Giubiasco","091 801 35 11",,,,"*80-2-2",
85,"2","235",0000,,002353,"230","2",2009-11-08,"1","1","1","UBS","UBS AG","Bubenbergplatz 3","Postfach","3000","Bern 94","031 336 21 11",,,,"*80-2-2","UBSWCHZH30A"
86,"2","235",0001,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Langenthalstrasse 33","Postfach","4912","Aarwangen","062 916 90 11",,,,"*80-2-2",
87,"2","235",0002,,002353,"230","3",2005-04-22,"1","1","1","UBS","UBS AG","Bümpliz / Bottigenstrasse 2","Postfach","3018","Bern","031 998 72 72",,,,"*80-2-2",
88,"2","235",0003,,002353,"230","3",2005-04-28,"1","1","1","UBS","UBS AG","Länggassstrasse 29","Postfach","3000","Bern 9","031 307 83 83",,,,"*80-2-2",
89,"2","235",0004,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Bolligenstrasse 94","Postfach","3065","Bolligen Station","031 917 63 63",,,,"*80-2-2",
90,"2","235",0006,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Kramgasse 4","Postfach","3506","Grosshöchstetten","031 710 73 73",,,,"*80-2-2",
91,"2","235",0007,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Moosstrasse 2","Postfach","3073","Gümligen","031 958 88 88",,,,"*80-2-2",
92,"2","235",0008,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Wangenstrasse 10","Postfach","3360","Herzogenbuchsee","062 956 86 86",,,,"*80-2-2",
93,"2","235",0009,,002353,"230","3",2005-04-22,"1","1","1","UBS","UBS AG","Schwarzenburgstrasse 230",,"3098","Köniz","031 978 68 68",,,,"*80-2-2",
94,"2","235",0010,,002353,"230","3",2005-04-22,"1","1","1","UBS","UBS AG","Kreuzplatz 1","Postfach","3510","Konolfingen","031 790 92 92",,,,"*80-2-2",
95,"2","235",0012,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Marktgasse 16","Postfach","4901","Langenthal","062 916 95 11",,,,"*80-2-2",
96,"2","235",0013,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Thunstrasse 4","Postfach","3110","Münsingen","031 724 74 11",,,,"*80-2-2",
97,"2","235",0014,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Burgdorfstrasse 3","Postfach","3672","Oberdiessbach","031 770 79 79",,,,"*80-2-2",
98,"2","235",0015,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Dorfstrasse 2","Postfach","4914","Roggwil BE","062 918 91 11",,,,"*80-2-2",
99,"2","235",0016,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Chasseralstrasse 156","Postfach","3095","Spiegel b. Bern","031 978 66 66",,,,"*80-2-2",
100,"2","235",0018,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Vorstadt 30","Postfach","3380","Wangen an der Aare","032 631 61 61",,,,"*80-2-2",
101,"2","235",0019,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Kirchweg 1","Postfach","3076","Worb 1","031 838 64 64",,,,"*80-2-2",
102,"2","235",0020,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Bernstrasse 94","Postfach","3052","Zollikofen","031 919 81 81",,,,"*80-2-2",
103,"2","235",0021,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Bärenplatz 8","Postfach","3000","Bern 94","031 336 21 11",,,,"*80-2-2",
104,"2","235",0022,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Breitenrainstrasse 10","Postfach","3000","Bern 22","031 336 70 11",,,,"*80-2-2",
105,"2","235",0024,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Bernstrasse 11","Postfach","3175","Flamatt","031 744 13 11",,,,"*80-2-2",
106,"2","235",0025,,002353,"230","3",2005-04-22,"1","1","1","UBS","UBS AG","Kalchofenstrasse 6","Postfach","3415","Hasle-Rüegsau","034 460 69 11",,,,"*80-2-2",
107,"2","235",0026,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Dorfstrasse 4","Postfach","3324","Hindelbank","034 411 84 11",,,,"*80-2-2",
108,"2","235",0027,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Talweg 14","Postfach","3063","Ittigen","031 924 12 11",,,,"*80-2-2",
109,"2","235",0028,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Solothurnstrasse 4","Postfach","3422","Kirchberg BE","034 448 62 11",,,,"*80-2-2",
110,"2","235",0030,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Alleestrasse 10 A","Postfach","3550","Langnau im Emmental","034 409 16 11",,,,"*80-2-2",
111,"2","235",0031,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Klosterweg 2","Postfach","3053","Münchenbuchsee","031 868 15 11",,,,"*80-2-2",
112,"2","235",0032,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Emmentalstrasse 11","Postfach","3414","Oberburg","034 427 87 11",,,,"*80-2-2",
113,"2","235",0035,,002353,"230","3",2004-10-30,"1","1","1","UBS","UBS AG","Dorfstrasse 17","Postfach","3054","Schüpfen","031 879 67 11",,,,"*80-2-2",
114,"2","235",0036,,002353,"230","3",2005-04-28,"1","1","1","UBS","UBS AG","Emmentalstrasse 14","Postfach","3402","Burgdorf","034 426 77 77",,,,"*80-2-2",
115,"2","236",0000,,002369,"230","2",2009-11-08,"1","1","3","UBS","UBS SA","Piazza Col. C. Bernasconi 5","Casella postale","6830","Chiasso 1","091 801 51 11",,,,"*80-2-2","UBSWCHZH68B"
116,"2","236",0002,,002369,"230","3",2005-04-22,"1","1","3","UBS","UBS SA","Via Lavizzari 15","Casella postale","6850","Mendrisio","091 801 59 59",,,,"*80-2-2",
117,"2","236",0003,,002369,"230","3",2004-10-29,"1","1","3","UBS","UBS SA","Viale Serfontana 20","Centro Serfontana","6836","Serfontana","091 801 58 11",,,,"*80-2-2",
118,"2","236",0004,,002369,"230","3",2005-04-22,"1","1","3","UBS","UBS SA","Via Giulia 25","Casella postale","6855","Stabio","091 801 58 80",,,,"*80-2-2",
119,"2","238",0000,,002385,"230","2",2009-11-08,"1","1","1","UBS","UBS AG","Dorfstrasse 94","Postfach","8706","Meilen","044 925 31 11",,,,"*80-2-2","UBSWCHZH87C"
120,"2","238",0002,,002385,"230","3",2005-03-12,"1","1","1","UBS","UBS AG","Seestrasse 49","Postfach","8712","Stäfa","044 928 23 23",,,,"*80-2-2",
121,"2","239",0000,,002390,"230","2",2009-11-08,"1","1","1","UBS","UBS AG","Zürcherstrasse 144","Postfach","8501","Frauenfeld","052 723 51 51",,,,"*80-2-2","UBSWCHZH85A"
122,"2","239",0001,,002390,"230","3",2001-06-22,"1","1","1","UBS","UBS AG","Bahnhofstrasse 13","Postfach","8580","Amriswil","071 414 55 55",,,,"*80-2-2",
123,"2","239",0002,,002390,"230","3",2001-06-22,"1","1","1","UBS","UBS AG","Obertor 1","Postfach","9220","Bischofszell","071 424 26 55",,,,"*80-2-2",
124,"2","240",0000,,002404,"230","2",2009-11-08,"1","1","2","UBS","UBS SA","Rue du Rhône 8","Case postale","1211","Genève 2","022 375 75 75",,,,"*80-2-2","UBSWCHZH12A"
125,"2","240",0002,,002404,"230","3",2004-10-29,"1","1","2","UBS","UBS SA","Route de St-Julien 114","Case postale","1228","Plan-les-Ouates","022 706 23 88",,,,"*80-2-2",
126,"2","240",0003,,002404,"230","3",2004-10-29,"1","1","2","UBS","UBS SA","Rue du Village 28","Case postale","1214","Vernier","022 306 12 11",,,,"*80-2-2",
127,"2","240",0004,,002404,"230","3",2004-10-29,"1","1","2","UBS","UBS SA","Rampe de la Gare 2","Case postale","1290","Versoix","022 775 16 88",,,,"*80-2-2",
128,"2","240",0007,,002404,"230","3",2004-10-29,"1","1","2","UBS","UBS SA","Place du Petit-Saconnex 11","Case postale","1211","Genève 2","022 749 20 11",,,,"*80-2-2",
129,"2","240",0009,,002404,"230","3",2004-10-29,"1","1","2","UBS","UBS SA","Rue de la Servette 75","Case postale","1211","Genève 2","022 748 27 11",,,,"*80-2-2",
130,"2","240",0011,,002404,"230","3",2004-10-29,"1","1","2","UBS","UBS SA","Avenue de Feuillasse 24","Case postale","1217","Meyrin","022 783 21 11",,,,"*80-2-2",
131,"2","240",0012,,002404,"230","3",2005-04-22,"1","1","2","UBS","UBS SA","Lancy-Onex / Rue des Bossons 90","Case postale","1211","Genève 2","022 879 16 11",,,,"*80-2-2",
132,"2","240",0013,,002404,"230","3",2005-04-22,"1","1","2","UBS","UBS SA","Acacias / Rue des Noirettes 35","Case postale","1211","Genève 2","022 375 93 00",,,,"*80-2-2",
133,"2","240",0016,,002404,"230","3",2004-10-29,"1","1","2","UBS","UBS SA","Aéroport Cointrin","Case postale","1211","Genève 2","022 306 14 88",,,,"*80-2-2",
134,"2","240",0017,,002404,"230","3",2004-10-29,"1","1","2","UBS","UBS SA","Place de Cornavin 12","Case postale","1211","Genève 1","022 375 33 47",,,,"*80-2-2",
135,"2","240",0018,,002404,"230","3",2004-10-29,"1","1","2","UBS","UBS SA","Place des Eaux-Vives 2","Case postale","1211","Genève 2","022 787 29 88",,,,"*80-2-2",
136,"2","240",0019,,002404,"230","3",2004-10-29,"1","1","2","UBS","UBS SA","Route de Florissant 59","Case postale","1211","Genève 2","022 704 14 04",,,,"*80-2-2",
137,"2","240",0020,,002404,"230","3",2004-10-29,"1","1","2","UBS","UBS SA","Place du Manoir 16",,"1223","Cologny","022 737 20 88",,,,"*80-2-2",
138,"2","241",0000,,002412,"230","2",2009-11-08,"1","1","1","UBS","UBS AG","Bahnhofstrasse 20","Postfach","3800","Interlaken","033 826 35 55",,,,"*80-2-2","UBSWCHZH38A"
139,"2","241",0001,,002412,"230","3",2004-10-29,"1","1","1","UBS","UBS AG","Hauptstrasse","Postfach","3818","Grindelwald","033 854 42 11",,,,"*80-2-2",
140,"2","242",0000,,002428,"230","2",2009-11-08,"1","1","2","UBS","UBS SA","Avenue Léopold-Robert 16","Case postale","2300","Chaux-de-Fonds, La","032 910 86 11",,,,"*80-2-2","UBSWCHZH23A"
141,"2","242",0001,,002428,"230","3",2004-10-29,"1","1","2","UBS","UBS SA","Rue Henry-Grandjean 5","Case postale","2400","Locle, Le","032 930 78 11",,,,"*80-2-2",
142,"2","243",0000,,002433,"230","2",2009-11-08,"1","1","2","UBS","UBS SA","Place St-François 16","Case postale","1002","Lausanne","021 215 41 11",,,,"*80-2-2","UBSWCHZH10A"
143,"2","243",0001,,002433,"230","3",2005-04-22,"1","1","2","UBS","UBS SA","Avenue de Chailly 1","Case postale","1000","Lausanne 12","021 654 94 11",,,,"*80-2-2",
144,"2","243",0003,,002433,"230","3",2004-10-30,"1","1","2","UBS","UBS SA","Grand-Rue 102","Case postale","1110","Morges 1","021 804 77 11",,,,"*80-2-2",
145,"2","243",0004,,002433,"230","3",2004-10-30,"1","1","2","UBS","UBS SA","Route de Cossonay 23","Case postale","1008","Prilly","021 621 76 11",,,,"*80-2-2",
146,"2","243",0005,,002433,"230","3",2004-10-30,"1","1","2","UBS","UBS SA","Place Neuve 2","Case postale","1009","Pully","021 721 75 11",,,,"*80-2-2",
147,"2","243",0007,,002433,"230","3",2005-04-22,"1","1","2","UBS","UBS SA","Centre Universitaire","Case postale","1015","Lausanne","021 215 59 11",,,,"*80-2-2",
148,"2","243",0008,,002433,"230","3",2004-10-30,"1","1","2","UBS","UBS SA","Avenue d'Ouchy 61","Case postale","1000","Lausanne 6","021 614 92 11",,,,"*80-2-2",
149,"2","243",0010,,002433,"230","3",2004-10-30,"1","1","2","UBS","UBS SA","Grand-Rue 47","Case postale","1180","Rolle","021 822 15 11",,,,"*80-2-2",
